fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P3_P3-M2_LOYO_2026,LOYO,2026,P3-M2,hongming,1330.06325,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M2_LOYO_2026,LOYO,2026,P3-M2,luhong,1405.932687,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
main_P3_P3-M2_rolling_2024,rolling,2024,P3-M2,bannei,1404.9153,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.333333333,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
main_P3_P3-M2_rolling_2024,rolling,2024,P3-M2,hongming,1366.21315,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.333333333,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-M2_rolling_2024,rolling,2024,P3-M2,luhong,1327.209387,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.333333333,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
main_P3_P3-M2_rolling_2025,rolling,2025,P3-M2,bannei,1365.1659,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.666666667,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-M2_rolling_2025,rolling,2025,P3-M2,hongming,1330.06325,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.666666667,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M2_rolling_2025,rolling,2025,P3-M2,luhong,1428.549925,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.666666667,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
main_P3_P3-M2_rolling_2026,rolling,2026,P3-M2,bannei,1365.1659,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-M2_rolling_2026,rolling,2026,P3-M2,hongming,1330.06325,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M2_rolling_2026,rolling,2026,P3-M2,luhong,1405.932687,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
