fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
bannei_early_sensitivity_P1_P1-B1_LOYO_2025,LOYO,2025,P1-B1,bannei,19,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",6.090909091,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2025,LOYO,2025,P1-B1,hongming,14,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",6.090909091,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2025,LOYO,2025,P1-B1,luhong,2,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",6.090909091,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2025,LOYO,2025,P1-D1,bannei,56,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.909090909,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2025,LOYO,2025,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.909090909,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2025,LOYO,2025,P1-D1,luhong,37,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.909090909,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2025,LOYO,2025,P1-D2,bannei,102.65,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",11.27272727,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2025,LOYO,2025,P1-D2,hongming,98.7,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",11.27272727,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2025,LOYO,2025,P1-D2,luhong,33.4,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",11.27272727,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2025,LOYO,2025,P1-H1,bannei,1122,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",8.181818182,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2025,LOYO,2025,P1-H1,hongming,1018,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",8.181818182,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
