fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P2_P2-M2_LOYO_2025,2025,LOYO,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",2.545454545,2022;2023;2024;2026
main_P2_P2-M2_LOYO_2025,2025,LOYO,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",2.454545455,2022;2023;2024;2026
main_P2_P2-M2_LOYO_2025,2025,LOYO,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",2.909090909,2022;2023;2024;2026
main_P2_P2-M2_LOYO_2026,2026,LOYO,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.8,2022;2023;2024;2025
main_P2_P2-M2_LOYO_2026,2026,LOYO,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.2,2022;2023;2024;2025
main_P2_P2-M2_LOYO_2026,2026,LOYO,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.2,2022;2023;2024;2025
main_P2_P2-M2_rolling_2024,2024,rolling,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",2.166666667,2022;2023
main_P2_P2-M2_rolling_2024,2024,rolling,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",1.166666667,2022;2023
main_P2_P2-M2_rolling_2024,2024,rolling,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",2.166666667,2022;2023
main_P2_P2-M2_rolling_2025,2025,rolling,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 10}",4.333333333,2022;2023;2024
main_P2_P2-M2_rolling_2025,2025,rolling,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 10}",3.888888889,2022;2023;2024
main_P2_P2-M2_rolling_2025,2025,rolling,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 10}",4,2022;2023;2024
main_P2_P2-M2_rolling_2026,2026,rolling,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.8,2022;2023;2024;2025
main_P2_P2-M2_rolling_2026,2026,rolling,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.2,2022;2023;2024;2025
main_P2_P2-M2_rolling_2026,2026,rolling,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.2,2022;2023;2024;2025
