station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
bannei,haikou,2021-09-06,27.8,29.4,26.4,2.7,86,11.438130555555555,20.25,2.47,3.98,4.11,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-07,27.2,28.0,26.3,9.8,88,8.989875,16.41,5.03,7.75,3.21,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-08,28.3,29.9,27.1,0.7,83,11.591325,21.99,5.0,6.24,4.72,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-09,28.5,29.9,27.4,0.5,83,11.736011111111111,21.99,3.26,5.34,4.49,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-10,28.2,28.6,27.8,5.0,83,7.899683333333334,14.63,3.81,5.98,3.3,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-11,28.6,29.7,27.2,3.3,85,11.344902777777778,21.2,4.97,6.83,4.33,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-12,28.7,30.6,27.2,0.0,84,11.5578,23.64,2.38,3.62,4.86,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-13,28.9,30.3,27.3,2.0,84,11.430722222222222,21.31,3.73,5.33,4.53,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-14,28.6,29.5,27.8,5.1,86,7.481738888888889,13.99,4.45,6.08,3.32,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-15,28.2,30.7,26.6,8.3,84,9.560819444444444,16.86,2.71,5.47,3.77,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
