context,model_id,alpha,inner_MAE_kg_mu,training_years
MAIN_rolling_outer_2026,Y-W3P,10,609.9176048,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P,100,524.9488268,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P,1000,506.804,2022;2023;2024;2025
MAIN_rolling_outer_2025,Y-W3P+PHENO,0.1,681.0837623,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P+PHENO,1,621.4242769,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P+PHENO,10,553.1619318,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P+PHENO,100,544.6860141,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P+PHENO,1000,559.9773704,2022;2023;2024
MAIN_rolling_outer_2026,Y-W3P+PHENO,0.1,1592.739224,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P+PHENO,1,932.6211387,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P+PHENO,10,632.6424244,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P+PHENO,100,528.5504206,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P+PHENO,1000,507.2581658,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2022,Y-W1C,0.1,323.2392178,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1C,1,457.8498277,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1C,10,447.3763524,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1C,100,373.0476059,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1C,1000,378.1952066,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1C,0.1,792.2636878,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1C,1,717.5329489,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1C,10,602.5710586,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1C,100,535.8695477,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1C,1000,507.0565998,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1C,0.1,1021.917172,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1C,1,496.8996783,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1C,10,413.0341316,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1C,100,390.3394176,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1C,1000,383.268968,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2025,Y-W1C,0.1,747.2911137,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1C,1,485.1104392,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1C,10,489.5716457,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1C,100,472.5804248,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1C,1000,471.1844912,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2026,Y-W1C,0.1,1294.546259,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1C,1,732.1587882,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1C,10,466.4705523,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1C,100,478.6531835,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1C,1000,491.7856361,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2022,Y-W1M,0.1,217.2898693,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1M,1,182.1498208,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1M,10,227.7095581,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1M,100,343.9050493,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W1M,1000,375.3123356,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1M,0.1,742.8490057,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1M,1,648.9264611,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1M,10,559.842102,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1M,100,523.2519001,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W1M,1000,505.6073594,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1M,0.1,776.7485005,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1M,1,541.5748956,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1M,10,396.8359845,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1M,100,377.3695272,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W1M,1000,381.6872143,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2025,Y-W1M,0.1,771.5247193,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1M,1,535.9737541,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1M,10,448.7271267,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1M,100,467.7359023,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W1M,1000,471.357041,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2026,Y-W1M,0.1,1219.75056,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1M,1,818.3872386,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1M,10,545.6395561,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1M,100,502.6952293,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W1M,1000,494.6582958,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2022,Y-W2O,0.1,353.8100851,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W2O,1,303.9937602,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W2O,10,276.8334626,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W2O,100,323.2904309,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2022,Y-W2O,1000,372.6125773,2023;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W2O,0.1,784.1370235,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W2O,1,572.847604,2022;2024;2025;2026
